strain,sex,id,replicate,drug,dose,dosecode,cells,viability
BALB/cByJ,m,BEZ_544,4,BEZ235,1.235,C,monocytes,107.29
BALB/cByJ,m,BEZ_549,1,BEZ235,11.111,D,monocytes,106.73
BALB/cByJ,m,BEZ_550,2,BEZ235,11.111,D,monocytes,109.45
BALB/cByJ,m,BEZ_551,3,BEZ235,11.111,D,monocytes,109.34
BALB/cByJ,m,BEZ_552,4,BEZ235,11.111,D,monocytes,110.47
BALB/cByJ,m,BEZ_557,1,BEZ235,100,E,monocytes,111.95
BALB/cByJ,m,BEZ_558,2,BEZ235,100,E,monocytes,107.98
BALB/cByJ,m,BEZ_559,3,BEZ235,100,E,monocytes,108.77
BALB/cByJ,m,BEZ_560,4,BEZ235,100,E,monocytes,112.63
BALB/cByJ,m,BEZ_561,1,BEZ235,0,ctrl,"T cells",101.59
BALB/cByJ,m,BEZ_562,2,BEZ235,0,ctrl,"T cells",99.54
BALB/cByJ,m,BEZ_563,3,BEZ235,0,ctrl,"T cells",100.05
BALB/cByJ,m,BEZ_564,4,BEZ235,0,ctrl,"T cells",98.82
BALB/cByJ,m,BEZ_569,1,BEZ235,0.046,A,"T cells",100.15
BALB/cByJ,m,BEZ_570,2,BEZ235,0.046,A,"T cells",99.44
BALB/cByJ,m,BEZ_571,3,BEZ235,0.046,A,"T cells",98.41
BALB/cByJ,m,BEZ_572,4,BEZ235,0.046,A,"T cells",100.15
BALB/cByJ,m,BEZ_573,1,BEZ235,0.137,B,"T cells",98.10
BALB/cByJ,m,BEZ_574,2,BEZ235,0.137,B,"T cells",101.18
BALB/cByJ,m,BEZ_575,3,BEZ235,0.137,B,"T cells",100.67
BALB/cByJ,m,BEZ_576,4,BEZ235,0.137,B,"T cells",99.23
BALB/cByJ,m,BEZ_581,1,BEZ235,1.235,C,"T cells",90.21
BALB/cByJ,m,BEZ_582,2,BEZ235,1.235,C,"T cells",100.97
BALB/cByJ,m,BEZ_583,3,BEZ235,1.235,C,"T cells",101.49
BALB/cByJ,m,BEZ_584,4,BEZ235,1.235,C,"T cells",101.69
BALB/cByJ,m,BEZ_589,1,BEZ235,11.111,D,"T cells",97.08
BALB/cByJ,m,BEZ_590,2,BEZ235,11.111,D,"T cells",96.77
BALB/cByJ,m,BEZ_591,3,BEZ235,11.111,D,"T cells",99.33
BALB/cByJ,m,BEZ_592,4,BEZ235,11.111,D,"T cells",99.95
BALB/cByJ,m,BEZ_597,1,BEZ235,100,E,"T cells",99.64
BALB/cByJ,m,BEZ_598,2,BEZ235,100,E,"T cells",99.85
BALB/cByJ,m,BEZ_599,3,BEZ235,100,E,"T cells",96.67
BALB/cByJ,m,BEZ_600,4,BEZ235,100,E,"T cells",101.28
BALB/cByJ,m,DOX_481,1,doxorubicin,0,ctrl,"B cells",88.93
BALB/cByJ,m,DOX_482,2,doxorubicin,0,ctrl,"B cells",105.86
BALB/cByJ,m,DOX_483,3,doxorubicin,0,ctrl,"B cells",98.71
BALB/cByJ,m,DOX_484,4,doxorubicin,0,ctrl,"B cells",106.49
BALB/cByJ,m,DOX_489,1,doxorubicin,0.046,A,"B cells",86.17
BALB/cByJ,m,DOX_490,2,doxorubicin,0.046,A,"B cells",99.09
BALB/cByJ,m,DOX_491,3,doxorubicin,0.046,A,"B cells",99.72
BALB/cByJ,m,DOX_492,4,doxorubicin,0.046,A,"B cells",104.86
BALB/cByJ,m,DOX_493,1,doxorubicin,0.137,B,"B cells",97.08
BALB/cByJ,m,DOX_494,2,doxorubicin,0.137,B,"B cells",98.09
BALB/cByJ,m,DOX_495,3,doxorubicin,0.137,B,"B cells",88.68
BALB/cByJ,m,DOX_496,4,doxorubicin,0.137,B,"B cells",84.67
BALB/cByJ,m,DOX_501,1,doxorubicin,1.235,C,"B cells",89.06
BALB/cByJ,m,DOX_502,2,doxorubicin,1.235,C,"B cells",75.51
BALB/cByJ,m,DOX_503,3,doxorubicin,1.235,C,"B cells",75.89
BALB/cByJ,m,DOX_504,4,doxorubicin,1.235,C,"B cells",97.96
BALB/cByJ,m,DOX_509,1,doxorubicin,11.111,D,"B cells",70.24
BALB/cByJ,m,DOX_510,2,doxorubicin,11.111,D,"B cells",59.33
BALB/cByJ,m,DOX_511,3,doxorubicin,11.111,D,"B cells",65.48
BALB/cByJ,m,DOX_512,4,doxorubicin,11.111,D,"B cells",76.51
BALB/cByJ,m,DOX_517,1,doxorubicin,100,E,"B cells",11.92
BALB/cByJ,m,DOX_518,2,doxorubicin,100,E,"B cells",16.31
BALB/cByJ,m,DOX_519,3,doxorubicin,100,E,"B cells",25.09
BALB/cByJ,m,DOX_520,4,doxorubicin,100,E,"B cells",12.92
BALB/cByJ,m,DOX_521,1,doxorubicin,0,ctrl,monocytes,98.29
BALB/cByJ,m,DOX_522,2,doxorubicin,0,ctrl,monocytes,109.03
BALB/cByJ,m,DOX_523,3,doxorubicin,0,ctrl,monocytes,104.57
BALB/cByJ,m,DOX_524,4,doxorubicin,0,ctrl,monocytes,88.11
BALB/cByJ,m,DOX_529,1,doxorubicin,0.046,A,monocytes,93.55
BALB/cByJ,m,DOX_530,2,doxorubicin,0.046,A,monocytes,98.15
BALB/cByJ,m,DOX_531,3,doxorubicin,0.046,A,monocytes,96.76
BALB/cByJ,m,DOX_532,4,doxorubicin,0.046,A,monocytes,95.64
BALB/cByJ,m,DOX_533,1,doxorubicin,0.137,B,monocytes,99.83
BALB/cByJ,m,DOX_534,2,doxorubicin,0.137,B,monocytes,88.67
BALB/cByJ,m,DOX_535,3,doxorubicin,0.137,B,monocytes,103.31
BALB/cByJ,m,DOX_536,4,doxorubicin,0.137,B,monocytes,116.56
BALB/cByJ,m,DOX_541,1,doxorubicin,1.235,C,monocytes,80.72
BALB/cByJ,m,DOX_542,2,doxorubicin,1.235,C,monocytes,95.50
BALB/cByJ,m,DOX_543,3,doxorubicin,1.235,C,monocytes,97.32
BALB/cByJ,m,DOX_544,4,doxorubicin,1.235,C,monocytes,74.59
BALB/cByJ,m,DOX_549,1,doxorubicin,11.111,D,monocytes,54.79
BALB/cByJ,m,DOX_550,2,doxorubicin,11.111,D,monocytes,54.79
BALB/cByJ,m,DOX_551,3,doxorubicin,11.111,D,monocytes,71.52
BALB/cByJ,m,DOX_552,4,doxorubicin,11.111,D,monocytes,76.82
BALB/cByJ,m,DOX_557,1,doxorubicin,100,E,monocytes,35.13
BALB/cByJ,m,DOX_558,2,doxorubicin,100,E,monocytes,65.81
BALB/cByJ,m,DOX_559,3,doxorubicin,100,E,monocytes,71.38
BALB/cByJ,m,DOX_560,4,doxorubicin,100,E,monocytes,56.33
BALB/cByJ,m,DOX_561,1,doxorubicin,0,ctrl,"T cells",103.01
BALB/cByJ,m,DOX_562,2,doxorubicin,0,ctrl,"T cells",101.72
BALB/cByJ,m,DOX_563,3,doxorubicin,0,ctrl,"T cells",98.17
BALB/cByJ,m,DOX_564,4,doxorubicin,0,ctrl,"T cells",97.09
BALB/cByJ,m,DOX_569,1,doxorubicin,0.046,A,"T cells",101.51
BALB/cByJ,m,DOX_570,2,doxorubicin,0.046,A,"T cells",101.40
BALB/cByJ,m,DOX_571,3,doxorubicin,0.046,A,"T cells",98.28
BALB/cByJ,m,DOX_572,4,doxorubicin,0.046,A,"T cells",98.82
BALB/cByJ,m,DOX_573,1,doxorubicin,0.137,B,"T cells",102.26
BALB/cByJ,m,DOX_574,2,doxorubicin,0.137,B,"T cells",99.03
BALB/cByJ,m,DOX_575,3,doxorubicin,0.137,B,"T cells",99.46
BALB/cByJ,m,DOX_576,4,doxorubicin,0.137,B,"T cells",102.05
BALB/cByJ,m,DOX_581,1,doxorubicin,1.235,C,"T cells",100.22
BALB/cByJ,m,DOX_582,2,doxorubicin,1.235,C,"T cells",99.78
BALB/cByJ,m,DOX_583,3,doxorubicin,1.235,C,"T cells",94.83
BALB/cByJ,m,DOX_584,4,doxorubicin,1.235,C,"T cells",94.83
BALB/cByJ,m,DOX_589,1,doxorubicin,11.111,D,"T cells",97.95
BALB/cByJ,m,DOX_590,2,doxorubicin,11.111,D,"T cells",99.78
BALB/cByJ,m,DOX_591,3,doxorubicin,11.111,D,"T cells",89.13
BALB/cByJ,m,DOX_592,4,doxorubicin,11.111,D,"T cells",93.33
BALB/cByJ,m,DOX_597,1,doxorubicin,100,E,"T cells",77.72
BALB/cByJ,m,DOX_598,2,doxorubicin,100,E,"T cells",83.85
BALB/cByJ,m,DOX_599,3,doxorubicin,100,E,"T cells",84.82
BALB/cByJ,m,DOX_600,4,doxorubicin,100,E,"T cells",83.96
BALB/cByJ,m,IDA_481,1,idarubicin,0,ctrl,"B cells",100.69
BALB/cByJ,m,IDA_482,2,idarubicin,0,ctrl,"B cells",89.78
BALB/cByJ,m,IDA_483,3,idarubicin,0,ctrl,"B cells",104.23
BALB/cByJ,m,IDA_484,4,idarubicin,0,ctrl,"B cells",105.30
BALB/cByJ,m,IDA_489,1,idarubicin,0.046,A,"B cells",97.46
BALB/cByJ,m,IDA_490,2,idarubicin,0.046,A,"B cells",101.46
BALB/cByJ,m,IDA_491,3,idarubicin,0.046,A,"B cells",103.92
BALB/cByJ,m,IDA_492,4,idarubicin,0.046,A,"B cells",89.93
BALB/cByJ,m,IDA_493,1,idarubicin,0.137,B,"B cells",93.62
BALB/cByJ,m,IDA_494,2,idarubicin,0.137,B,"B cells",97.31
BALB/cByJ,m,IDA_495,3,idarubicin,0.137,B,"B cells",113.45
BALB/cByJ,m,IDA_496,4,idarubicin,0.137,B,"B cells",97.00
BALB/cByJ,m,IDA_501,1,idarubicin,1.235,C,"B cells",69.79
BALB/cByJ,m,IDA_502,2,idarubicin,1.235,C,"B cells",95.93
BALB/cByJ,m,IDA_503,3,idarubicin,1.235,C,"B cells",60.72
BALB/cByJ,m,IDA_504,4,idarubicin,1.235,C,"B cells",85.93
BALB/cByJ,m,IDA_509,1,idarubicin,11.111,D,"B cells",44.73
BALB/cByJ,m,IDA_510,2,idarubicin,11.111,D,"B cells",47.50
BALB/cByJ,m,IDA_511,3,idarubicin,11.111,D,"B cells",46.43
BALB/cByJ,m,IDA_512,4,idarubicin,11.111,D,"B cells",56.88
BALB/cByJ,m,IDA_517,1,idarubicin,100,E,"B cells",0.29
BALB/cByJ,m,IDA_518,2,idarubicin,100,E,"B cells",0.88
BALB/cByJ,m,IDA_519,3,idarubicin,100,E,"B cells",1.03
BALB/cByJ,m,IDA_520,4,idarubicin,100,E,"B cells",0.55
BALB/cByJ,m,IDA_521,1,idarubicin,0,ctrl,monocytes,95.41
BALB/cByJ,m,IDA_522,2,idarubicin,0,ctrl,monocytes,103.18
BALB/cByJ,m,IDA_523,3,idarubicin,0,ctrl,monocytes,102.59
BALB/cByJ,m,IDA_524,4,idarubicin,0,ctrl,monocytes,98.82
BALB/cByJ,m,IDA_529,1,idarubicin,0.046,A,monocytes,108.59
BALB/cByJ,m,IDA_530,2,idarubicin,0.046,A,monocytes,106.00
BALB/cByJ,m,IDA_531,3,idarubicin,0.046,A,monocytes,110.35
BALB/cByJ,m,IDA_532,4,idarubicin,0.046,A,monocytes,95.76
BALB/cByJ,m,IDA_533,1,idarubicin,0.137,B,monocytes,87.65
BALB/cByJ,m,IDA_534,2,idarubicin,0.137,B,monocytes,105.65
BALB/cByJ,m,IDA_535,3,idarubicin,0.137,B,monocytes,113.65
BALB/cByJ,m,IDA_536,4,idarubicin,0.137,B,monocytes,96.59
BALB/cByJ,m,IDA_541,1,idarubicin,1.235,C,monocytes,70.59
BALB/cByJ,m,IDA_542,2,idarubicin,1.235,C,monocytes,79.53
BALB/cByJ,m,IDA_543,3,idarubicin,1.235,C,monocytes,80.00
BALB/cByJ,m,IDA_544,4,idarubicin,1.235,C,monocytes,90.94
BALB/cByJ,m,IDA_549,1,idarubicin,11.111,D,monocytes,65.18
BALB/cByJ,m,IDA_550,2,idarubicin,11.111,D,monocytes,75.53
BALB/cByJ,m,IDA_551,3,idarubicin,11.111,D,monocytes,80.00
BALB/cByJ,m,IDA_552,4,idarubicin,11.111,D,monocytes,62.24
BALB/cByJ,m,IDA_557,1,idarubicin,100,E,monocytes,5.18
BALB/cByJ,m,IDA_558,2,idarubicin,100,E,monocytes,4.31
BALB/cByJ,m,IDA_559,3,idarubicin,100,E,monocytes,6.33
BALB/cByJ,m,IDA_560,4,idarubicin,100,E,monocytes,4.95
BALB/cByJ,m,IDA_561,1,idarubicin,0,ctrl,"T cells",100.96
BALB/cByJ,m,IDA_562,2,idarubicin,0,ctrl,"T cells",98.16
BALB/cByJ,m,IDA_563,3,idarubicin,0,ctrl,"T cells",101.58
BALB/cByJ,m,IDA_564,4,idarubicin,0,ctrl,"T cells",99.30
BALB/cByJ,m,IDA_569,1,idarubicin,0.046,A,"T cells",100.44
BALB/cByJ,m,IDA_570,2,idarubicin,0.046,A,"T cells",99.82
BALB/cByJ,m,IDA_571,3,idarubicin,0.046,A,"T cells",100.65
BALB/cByJ,m,IDA_572,4,idarubicin,0.046,A,"T cells",97.84
BALB/cByJ,m,IDA_573,1,idarubicin,0.137,B,"T cells",99.82
BALB/cByJ,m,IDA_574,2,idarubicin,0.137,B,"T cells",99.51
BALB/cByJ,m,IDA_575,3,idarubicin,0.137,B,"T cells",102.73
BALB/cByJ,m,IDA_576,4,idarubicin,0.137,B,"T cells",99.61
BALB/cByJ,m,IDA_581,1,idarubicin,1.235,C,"T cells",97.74
BALB/cByJ,m,IDA_582,2,idarubicin,1.235,C,"T cells",99.71
BALB/cByJ,m,IDA_583,3,idarubicin,1.235,C,"T cells",95.66
BALB/cByJ,m,IDA_584,4,idarubicin,1.235,C,"T cells",97.43
BALB/cByJ,m,IDA_589,1,idarubicin,11.111,D,"T cells",88.70
BALB/cByJ,m,IDA_590,2,idarubicin,11.111,D,"T cells",89.02
BALB/cByJ,m,IDA_591,3,idarubicin,11.111,D,"T cells",89.85
BALB/cByJ,m,IDA_592,4,idarubicin,11.111,D,"T cells",93.48
BALB/cByJ,m,IDA_597,1,idarubicin,100,E,"T cells",0.66
BALB/cByJ,m,IDA_598,2,idarubicin,100,E,"T cells",0.66
BALB/cByJ,m,IDA_599,3,idarubicin,100,E,"T cells",0.37
BALB/cByJ,m,IDA_600,4,idarubicin,100,E,"T cells",0.39
BALB/cByJ,m,SEL_481,1,selumetinib,0,ctrl,"B cells",99.81
BALB/cByJ,m,SEL_482,2,selumetinib,0,ctrl,"B cells",99.59
BALB/cByJ,m,SEL_483,3,selumetinib,0,ctrl,"B cells",100.03
BALB/cByJ,m,SEL_484,4,selumetinib,0,ctrl,"B cells",100.57
BALB/cByJ,m,SEL_489,1,selumetinib,0.046,A,"B cells",97.09
BALB/cByJ,m,SEL_490,2,selumetinib,0.046,A,"B cells",98.72
BALB/cByJ,m,SEL_491,3,selumetinib,0.046,A,"B cells",100.14
BALB/cByJ,m,SEL_492,4,selumetinib,0.046,A,"B cells",100.79
BALB/cByJ,m,SEL_493,1,selumetinib,0.137,B,"B cells",96.98
BALB/cByJ,m,SEL_494,2,selumetinib,0.137,B,"B cells",101.98
BALB/cByJ,m,SEL_495,3,selumetinib,0.137,B,"B cells",100.79
BALB/cByJ,m,SEL_496,4,selumetinib,0.137,B,"B cells",101.33
BALB/cByJ,m,SEL_501,1,selumetinib,1.235,C,"B cells",95.46
BALB/cByJ,m,SEL_502,2,selumetinib,1.235,C,"B cells",103.72
BALB/cByJ,m,SEL_503,3,selumetinib,1.235,C,"B cells",104.16
BALB/cByJ,m,SEL_504,4,selumetinib,1.235,C,"B cells",103.40
BALB/cByJ,m,SEL_509,1,selumetinib,11.111,D,"B cells",95.24
BALB/cByJ,m,SEL_510,2,selumetinib,11.111,D,"B cells",100.24
BALB/cByJ,m,SEL_511,3,selumetinib,11.111,D,"B cells",101.77
BALB/cByJ,m,SEL_512,4,selumetinib,11.111,D,"B cells",103.72
BALB/cByJ,m,SEL_517,1,selumetinib,100,E,"B cells",100.35
BALB/cByJ,m,SEL_518,2,selumetinib,100,E,"B cells",101.66
BALB/cByJ,m,SEL_519,3,selumetinib,100,E,"B cells",99.27
BALB/cByJ,m,SEL_520,4,selumetinib,100,E,"B cells",101.98
BALB/cByJ,m,SEL_521,1,selumetinib,0,ctrl,monocytes,106.15
BALB/cByJ,m,SEL_522,2,selumetinib,0,ctrl,monocytes,99.54
BALB/cByJ,m,SEL_523,3,selumetinib,0,ctrl,monocytes,99.66
BALB/cByJ,m,SEL_524,4,selumetinib,0,ctrl,monocytes,94.65
BALB/cByJ,m,SEL_529,1,selumetinib,0.046,A,monocytes,107.06
BALB/cByJ,m,SEL_530,2,selumetinib,0.046,A,monocytes,98.97
BALB/cByJ,m,SEL_531,3,selumetinib,0.046,A,monocytes,97.49
BALB/cByJ,m,SEL_532,4,selumetinib,0.046,A,monocytes,97.84
BALB/cByJ,m,SEL_533,1,selumetinib,0.137,B,monocytes,103.42
BALB/cByJ,m,SEL_534,2,selumetinib,0.137,B,monocytes,105.35
BALB/cByJ,m,SEL_535,3,selumetinib,0.137,B,monocytes,103.30
BALB/cByJ,m,SEL_536,4,selumetinib,0.137,B,monocytes,106.15
BALB/cByJ,m,SEL_541,1,selumetinib,1.235,C,monocytes,104.44
BALB/cByJ,m,SEL_542,2,selumetinib,1.235,C,monocytes,108.77
BALB/cByJ,m,SEL_543,3,selumetinib,1.235,C,monocytes,103.30
BALB/cByJ,m,SEL_544,4,selumetinib,1.235,C,monocytes,107.06
BALB/cByJ,m,SEL_549,1,selumetinib,11.111,D,monocytes,98.75
BALB/cByJ,m,SEL_550,2,selumetinib,11.111,D,monocytes,99.77
BALB/cByJ,m,SEL_551,3,selumetinib,11.111,D,monocytes,104.44
BALB/cByJ,m,SEL_552,4,selumetinib,11.111,D,monocytes,112.53
BALB/cByJ,m,SEL_557,1,selumetinib,100,E,monocytes,109.00
BALB/cByJ,m,SEL_558,2,selumetinib,100,E,monocytes,105.58
BALB/cByJ,m,SEL_559,3,selumetinib,100,E,monocytes,109.91
BALB/cByJ,m,SEL_560,4,selumetinib,100,E,monocytes,105.01
BALB/cByJ,m,SEL_561,1,selumetinib,0,ctrl,"T cells",100.56
BALB/cByJ,m,SEL_562,2,selumetinib,0,ctrl,"T cells",99.85
BALB/cByJ,m,SEL_563,3,selumetinib,0,ctrl,"T cells",99.75
BALB/cByJ,m,SEL_564,4,selumetinib,0,ctrl,"T cells",99.85
BALB/cByJ,m,SEL_569,1,selumetinib,0.046,A,"T cells",100.05
BALB/cByJ,m,SEL_570,2,selumetinib,0.046,A,"T cells",99.54
BALB/cByJ,m,SEL_571,3,selumetinib,0.046,A,"T cells",99.03
BALB/cByJ,m,SEL_572,4,selumetinib,0.046,A,"T cells",99.54
BALB/cByJ,m,SEL_573,1,selumetinib,0.137,B,"T cells",99.54
BALB/cByJ,m,SEL_574,2,selumetinib,0.137,B,"T cells",100.86
BALB/cByJ,m,SEL_575,3,selumetinib,0.137,B,"T cells",100.15
BALB/cByJ,m,SEL_576,4,selumetinib,0.137,B,"T cells",100.46
BALB/cByJ,m,SEL_581,1,selumetinib,1.235,C,"T cells",98.73
BALB/cByJ,m,SEL_582,2,selumetinib,1.235,C,"T cells",101.07
BALB/cByJ,m,SEL_583,3,selumetinib,1.235,C,"T cells",101.27
BALB/cByJ,m,SEL_584,4,selumetinib,1.235,C,"T cells",100.66
BALB/cByJ,m,SEL_589,1,selumetinib,11.111,D,"T cells",98.32
BALB/cByJ,m,SEL_590,2,selumetinib,11.111,D,"T cells",99.95
BALB/cByJ,m,SEL_591,3,selumetinib,11.111,D,"T cells",99.95
BALB/cByJ,m,SEL_592,4,selumetinib,11.111,D,"T cells",101.07
BALB/cByJ,m,SEL_597,1,selumetinib,100,E,"T cells",100.76
BALB/cByJ,m,SEL_598,2,selumetinib,100,E,"T cells",99.75
BALB/cByJ,m,SEL_599,3,selumetinib,100,E,"T cells",99.44
BALB/cByJ,m,SEL_600,4,selumetinib,100,E,"T cells",99.95
"BTBR T+ tf/J",m,BEZ_601,1,BEZ235,0,ctrl,"B cells",100.65
"BTBR T+ tf/J",m,BEZ_602,2,BEZ235,0,ctrl,"B cells",99.65
"BTBR T+ tf/J",m,BEZ_603,3,BEZ235,0,ctrl,"B cells",100.25
"BTBR T+ tf/J",m,BEZ_604,4,BEZ235,0,ctrl,"B cells",99.45
"BTBR T+ tf/J",m,BEZ_609,1,BEZ235,0.046,A,"B cells",98.26
"BTBR T+ tf/J",m,BEZ_610,2,BEZ235,0.046,A,"B cells",112.61
"BTBR T+ tf/J",m,BEZ_611,3,BEZ235,0.046,A,"B cells",101.44
"BTBR T+ tf/J",m,BEZ_612,4,BEZ235,0.046,A,"B cells",114.20
"BTBR T+ tf/J",m,BEZ_613,1,BEZ235,0.137,B,"B cells",96.46
"BTBR T+ tf/J",m,BEZ_614,2,BEZ235,0.137,B,"B cells",112.41
"BTBR T+ tf/J",m,BEZ_615,3,BEZ235,0.137,B,"B cells",105.63
"BTBR T+ tf/J",m,BEZ_616,4,BEZ235,0.137,B,"B cells",107.62
"BTBR T+ tf/J",m,BEZ_621,1,BEZ235,1.235,C,"B cells",97.46
"BTBR T+ tf/J",m,BEZ_622,2,BEZ235,1.235,C,"B cells",75.73
"BTBR T+ tf/J",m,BEZ_623,3,BEZ235,1.235,C,"B cells",73.74
"BTBR T+ tf/J",m,BEZ_624,4,BEZ235,1.235,C,"B cells",106.63
"BTBR T+ tf/J",m,BEZ_629,1,BEZ235,11.111,D,"B cells",83.31
"BTBR T+ tf/J",m,BEZ_630,2,BEZ235,11.111,D,"B cells",69.56
"BTBR T+ tf/J",m,BEZ_631,3,BEZ235,11.111,D,"B cells",102.64
"BTBR T+ tf/J",m,BEZ_632,4,BEZ235,11.111,D,"B cells",66.97
"BTBR T+ tf/J",m,BEZ_637,1,BEZ235,100,E,"B cells",143.10
"BTBR T+ tf/J",m,BEZ_638,2,BEZ235,100,E,"B cells",76.13
"BTBR T+ tf/J",m,BEZ_639,3,BEZ235,100,E,"B cells",169.01
"BTBR T+ tf/J",m,BEZ_640,4,BEZ235,100,E,"B cells",86.70
"BTBR T+ tf/J",m,BEZ_641,1,BEZ235,0,ctrl,monocytes,100.69
"BTBR T+ tf/J",m,BEZ_642,2,BEZ235,0,ctrl,monocytes,86.52
"BTBR T+ tf/J",m,BEZ_643,3,BEZ235,0,ctrl,monocytes,107.69
"BTBR T+ tf/J",m,BEZ_644,4,BEZ235,0,ctrl,monocytes,105.10
"BTBR T+ tf/J",m,BEZ_649,1,BEZ235,0.046,A,monocytes,93.37
"BTBR T+ tf/J",m,BEZ_650,2,BEZ235,0.046,A,monocytes,112.41
"BTBR T+ tf/J",m,BEZ_651,3,BEZ235,0.046,A,monocytes,108.15
"BTBR T+ tf/J",m,BEZ_652,4,BEZ235,0.046,A,monocytes,117.59
"BTBR T+ tf/J",m,BEZ_653,1,BEZ235,0.137,B,monocytes,99.16
"BTBR T+ tf/J",m,BEZ_654,2,BEZ235,0.137,B,monocytes,87.13
"BTBR T+ tf/J",m,BEZ_655,3,BEZ235,0.137,B,monocytes,102.67
"BTBR T+ tf/J",m,BEZ_656,4,BEZ235,0.137,B,monocytes,113.18
"BTBR T+ tf/J",m,BEZ_661,1,BEZ235,1.235,C,monocytes,120.79
"BTBR T+ tf/J",m,BEZ_662,2,BEZ235,1.235,C,monocytes,119.27
"BTBR T+ tf/J",m,BEZ_663,3,BEZ235,1.235,C,monocytes,119.57
"BTBR T+ tf/J",m,BEZ_664,4,BEZ235,1.235,C,monocytes,114.24
"BTBR T+ tf/J",m,BEZ_669,1,BEZ235,11.111,D,monocytes,118.35
"BTBR T+ tf/J",m,BEZ_670,2,BEZ235,11.111,D,monocytes,81.04
"BTBR T+ tf/J",m,BEZ_671,3,BEZ235,11.111,D,monocytes,109.22
"BTBR T+ tf/J",m,BEZ_672,4,BEZ235,11.111,D,monocytes,96.88
"BTBR T+ tf/J",m,BEZ_677,1,BEZ235,100,E,monocytes,71.29
"BTBR T+ tf/J",m,BEZ_678,2,BEZ235,100,E,monocytes,51.33
"BTBR T+ tf/J",m,BEZ_679,3,BEZ235,100,E,monocytes,93.22
"BTBR T+ tf/J",m,BEZ_680,4,BEZ235,100,E,monocytes,68.24
"BTBR T+ tf/J",m,BEZ_681,1,BEZ235,0,ctrl,"T cells",97.90
"BTBR T+ tf/J",m,BEZ_682,2,BEZ235,0,ctrl,"T cells",100.56
"BTBR T+ tf/J",m,BEZ_683,3,BEZ235,0,ctrl,"T cells",101.30
"BTBR T+ tf/J",m,BEZ_684,4,BEZ235,0,ctrl,"T cells",100.24
"BTBR T+ tf/J",m,BEZ_689,1,BEZ235,0.046,A,"T cells",98.65
"BTBR T+ tf/J",m,BEZ_690,2,BEZ235,0.046,A,"T cells",102.15
"BTBR T+ tf/J",m,BEZ_691,3,BEZ235,0.046,A,"T cells",100.13
"BTBR T+ tf/J",m,BEZ_692,4,BEZ235,0.046,A,"T cells",103.11
"BTBR T+ tf/J",m,BEZ_693,1,BEZ235,0.137,B,"T cells",98.54
"BTBR T+ tf/J",m,BEZ_694,2,BEZ235,0.137,B,"T cells",99.60
"BTBR T+ tf/J",m,BEZ_695,3,BEZ235,0.137,B,"T cells",99.28
"BTBR T+ tf/J",m,BEZ_696,4,BEZ235,0.137,B,"T cells",100.13
"BTBR T+ tf/J",m,BEZ_701,1,BEZ235,1.235,C,"T cells",100.13
"BTBR T+ tf/J",m,BEZ_702,2,BEZ235,1.235,C,"T cells",99.92
"BTBR T+ tf/J",m,BEZ_703,3,BEZ235,1.235,C,"T cells",98.43
"BTBR T+ tf/J",m,BEZ_704,4,BEZ235,1.235,C,"T cells",99.28
"BTBR T+ tf/J",m,BEZ_709,1,BEZ235,11.111,D,"T cells",100.66
"BTBR T+ tf/J",m,BEZ_710,2,BEZ235,11.111,D,"T cells",98.01
"BTBR T+ tf/J",m,BEZ_711,3,BEZ235,11.111,D,"T cells",100.98
"BTBR T+ tf/J",m,BEZ_712,4,BEZ235,11.111,D,"T cells",96.63
"BTBR T+ tf/J",m,BEZ_717,1,BEZ235,100,E,"T cells",100.13
"BTBR T+ tf/J",m,BEZ_718,2,BEZ235,100,E,"T cells",90.05
"BTBR T+ tf/J",m,BEZ_719,3,BEZ235,100,E,"T cells",99.50
"BTBR T+ tf/J",m,BEZ_720,4,BEZ235,100,E,"T cells",95.67
"BTBR T+ tf/J",m,DOX_601,1,doxorubicin,0,ctrl,"B cells",92.56
"BTBR T+ tf/J",m,DOX_602,2,doxorubicin,0,ctrl,"B cells",95.18
"BTBR T+ tf/J",m,DOX_603,3,doxorubicin,0,ctrl,"B cells",109.22
"BTBR T+ tf/J",m,DOX_604,4,doxorubicin,0,ctrl,"B cells",103.03
"BTBR T+ tf/J",m,DOX_609,1,doxorubicin,0.046,A,"B cells",84.95
"BTBR T+ tf/J",m,DOX_610,2,doxorubicin,0.046,A,"B cells",97.80
"BTBR T+ tf/J",m,DOX_611,3,doxorubicin,0.046,A,"B cells",101.13
"BTBR T+ tf/J",m,DOX_612,4,doxorubicin,0.046,A,"B cells",129.68
"BTBR T+ tf/J",m,DOX_613,1,doxorubicin,0.137,B,"B cells",68.53
"BTBR T+ tf/J",m,DOX_614,2,doxorubicin,0.137,B,"B cells",61.87
"BTBR T+ tf/J",m,DOX_615,3,doxorubicin,0.137,B,"B cells",83.76
"BTBR T+ tf/J",m,DOX_616,4,doxorubicin,0.137,B,"B cells",91.61
"BTBR T+ tf/J",m,DOX_621,1,doxorubicin,1.235,C,"B cells",28.08
"BTBR T+ tf/J",m,DOX_622,2,doxorubicin,1.235,C,"B cells",38.31
"BTBR T+ tf/J",m,DOX_623,3,doxorubicin,1.235,C,"B cells",21.80
"BTBR T+ tf/J",m,DOX_624,4,doxorubicin,1.235,C,"B cells",16.97
